"Station","Z_statistic","P_value"
"Astore",-0.252987690968574,0.800277725052611
"Bahawalnagr",-4.38187641301264,1.17661549164834e-05
"Bahawalpur",5.02627106523624,5.0010886535472e-07
"Balakot",-1.74710754151214,0.0806186854801923
"Barkhan",4.42683147380321,9.56273853036589e-06
"Bunji",-0.0925510031986451,0.926260270377947
"Cherat",-1.77390830287651,0.0760783191457308
"Chhor",-0.398215111353739,0.690471627875068
"D.I.khan",-0.842784732758233,0.399348848078674
"Dalbandin",-3.88402813055658,0.000102740013053955
"Darosh",-3.96691146100852,7.28100249628566e-05
"Dir",14.2550332544768,4.17103553493436e-46
"Faisalabad",-0.678703969543928,0.497325450494711
"Ghari.Dupatta",-1.53956068510702,0.123667474886611
"Gilgit",1.32982975436836,0.183574370084981
"Gupis",-0.256520278271571,0.797549124350967
"Hyderabad",-0.788306554019677,0.430517414945853
"Islamabad",2.850869356669,0.00435998793177015
"Jacobabad",4.2019519485355,2.64623311676359e-05
"Jehlum",-2.06017207064034,0.039382093927019
"Jiwani",-3.31489847399997,0.000916764143790938
"Kakul",1.87262654705816,0.0611199728273516
"Kalat",-2.68709203075784,0.00720770907448167
"Karachi",-0.341483142973126,0.732739893011618
"Khanpur",5.43687750834361,5.42223866704192e-08
"Khuzdar",-1.13031818583362,0.258342174266796
"Kohat",-1.72610749899457,0.0843280749857027
"Kotli",-2.05815654031172,0.0395751089465848
"Kotli-01",-0.927026297521898,0.35391288063579
"Mainwali",-0.9029458585347,0.366554630311075
"Multan",-0.0471788583421574,0.962370677354616
"Muree",-1.37445721093802,0.169299785430204
"Nukkondi",3.73649358273735,0.000186604209066625
"Nwabshah",0.162190022738873,0.871156216475996
"Padidan",-9.0370595383168,1.60942722598748e-19
"Panjgur",-4.16580939681268,3.10249838680484e-05
"Parachinar",-3.26499551483286,0.00109465809880226
"Passni",1.8000801647047,0.0718479811068231
"Peshawer",-1.87052180388297,0.0614113920604032
"Quetta",-4.39095058459143,1.12856188990099e-05
"Rohri",0.867762101253203,0.385524581257365
"Saidu.Sharif",-1.66270530649377,0.0963714394816454
"Sargodha",3.84083898315161,0.00012261452480264
"Sialkot",3.36662052947621,0.000760953204203153
"Sibbi",-3.35808844441725,0.000784834967037298
"Skardu",1.1878858154375,0.234878398812188
"Zhob",-0.943931913741215,0.345204442388773
